"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"不传分页参数，使用默认值，返回200","5","获取医生列表-默认分页","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"不传分页参数，使用默认值，返回200","5","获取患者列表-默认分页","testcases.test_api","2026-05-05","passed","2026-05-05","","test_patients","",""
"搜索内科的患者，返回200","5","按科室搜索患者","testcases.test_api","2026-05-05","passed","2026-05-05","","test_patients","",""
"查询ID为1的医生详情，返回200","6","获取存在的医生详情","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"查询不存在的患者ID，返回404","6","获取不存在的患者详情","testcases.test_api","2026-05-05","passed","2026-05-05","","test_patients","",""
"查询ID为1的患者详情，返回200","6","获取存在的患者详情","testcases.test_api","2026-05-05","passed","2026-05-05","","test_patients","",""
"查询不存在的医生ID，返回404","6","获取不存在的医生详情","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"","12","test_doctor_flow","testcases.test_api","2026-05-05","passed","2026-05-05","TestPatientFlow","test_doctors_flow","",""
"查询主任医师列表，返回200","7","按职称查询医生","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"请求第2页数据，返回200","5","获取医生列表-第2页","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"输入用账号和密码获取token","98","登录成功获取token，返回200","testcases.test_api","2026-05-05","passed","2026-05-05","Test_api_login","test_login","",""
"搜索包含""王""字的患者，返回200","6","按姓名搜索患者","testcases.test_api","2026-05-05","passed","2026-05-05","","test_patients","",""
"","10","test_patient_flow","testcases.test_api","2026-05-05","passed","2026-05-05","TestPatientFlow","test_patient_flow","",""
"请求第1页数据，每页10条，返回200","5","获取医生列表-分页查询","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"查询内科的医生列表，返回200","7","按科室查询医生","testcases.test_api","2026-05-05","passed","2026-05-05","","test_doctors","",""
"请求第2页数据，返回200","6","获取患者列表-第2页","testcases.test_api","2026-05-05","passed","2026-05-05","","test_patients","",""
